loss,params,estimators,train_time,i
-0.3358599577109653,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7509836760181372, 'colsample_bytree': 0.9, 'learning_rate': 0.04516697049938882, 'num_leaves': 9, 'max_depth': 5, 'min_child_weight': 50.0, 'min_split_gain': 1.3, 'random_state': 7, 'reg_alpha': 4.1369072168851595, 'reg_lambda': 4.69686840479285, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 113, 'min_child_samples': 2950, 'n_estimators': 306}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7509836760181372, 'colsample_bytree': 0.9, 'learning_rate': 0.04516697049938882, 'num_leaves': 9, 'max_depth': 5, 'min_child_weight': 50.0, 'min_split_gain': 1.3, 'random_state': 7, 'reg_alpha': 4.1369072168851595, 'reg_lambda': 4.69686840479285, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 113, 'min_child_samples': 2950, 'n_estimators': 310}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7509836760181372, 'colsample_bytree': 0.9, 'learning_rate': 0.04516697049938882, 'num_leaves': 9, 'max_depth': 5, 'min_child_weight': 50.0, 'min_split_gain': 1.3, 'random_state': 7, 'reg_alpha': 4.1369072168851595, 'reg_lambda': 4.69686840479285, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 113, 'min_child_samples': 2950, 'n_estimators': 348}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7509836760181372, 'colsample_bytree': 0.9, 'learning_rate': 0.04516697049938882, 'num_leaves': 9, 'max_depth': 5, 'min_child_weight': 50.0, 'min_split_gain': 1.3, 'random_state': 7, 'reg_alpha': 4.1369072168851595, 'reg_lambda': 4.69686840479285, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 113, 'min_child_samples': 2950, 'n_estimators': 348}",19.73970055580139,1
-0.34127630012302573,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9293096930463428, 'colsample_bytree': 0.9, 'learning_rate': 0.013446880027161831, 'num_leaves': 14, 'max_depth': 3, 'min_child_weight': 55.0, 'min_split_gain': 4.9, 'random_state': 7, 'reg_alpha': 1.9224509879352816, 'reg_lambda': 9.849504171846782, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 112, 'min_child_samples': 1300, 'n_estimators': 541}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9293096930463428, 'colsample_bytree': 0.9, 'learning_rate': 0.013446880027161831, 'num_leaves': 14, 'max_depth': 3, 'min_child_weight': 55.0, 'min_split_gain': 4.9, 'random_state': 7, 'reg_alpha': 1.9224509879352816, 'reg_lambda': 9.849504171846782, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 112, 'min_child_samples': 1300, 'n_estimators': 506}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9293096930463428, 'colsample_bytree': 0.9, 'learning_rate': 0.013446880027161831, 'num_leaves': 14, 'max_depth': 3, 'min_child_weight': 55.0, 'min_split_gain': 4.9, 'random_state': 7, 'reg_alpha': 1.9224509879352816, 'reg_lambda': 9.849504171846782, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 112, 'min_child_samples': 1300, 'n_estimators': 514}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9293096930463428, 'colsample_bytree': 0.9, 'learning_rate': 0.013446880027161831, 'num_leaves': 14, 'max_depth': 3, 'min_child_weight': 55.0, 'min_split_gain': 4.9, 'random_state': 7, 'reg_alpha': 1.9224509879352816, 'reg_lambda': 9.849504171846782, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 112, 'min_child_samples': 1300, 'n_estimators': 514}",31.3920316696167,1
-0.34196549049759545,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9939678209073604, 'colsample_bytree': 0.9, 'learning_rate': 0.020304951173688125, 'num_leaves': 14, 'max_depth': 4, 'min_child_weight': 70.0, 'min_split_gain': 4.5, 'random_state': 7, 'reg_alpha': 5.957752851734069, 'reg_lambda': 6.828864726543282, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 143, 'min_child_samples': 1700, 'n_estimators': 310}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9939678209073604, 'colsample_bytree': 0.9, 'learning_rate': 0.020304951173688125, 'num_leaves': 14, 'max_depth': 4, 'min_child_weight': 70.0, 'min_split_gain': 4.5, 'random_state': 7, 'reg_alpha': 5.957752851734069, 'reg_lambda': 6.828864726543282, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 143, 'min_child_samples': 1700, 'n_estimators': 303}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9939678209073604, 'colsample_bytree': 0.9, 'learning_rate': 0.020304951173688125, 'num_leaves': 14, 'max_depth': 4, 'min_child_weight': 70.0, 'min_split_gain': 4.5, 'random_state': 7, 'reg_alpha': 5.957752851734069, 'reg_lambda': 6.828864726543282, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 143, 'min_child_samples': 1700, 'n_estimators': 310}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9939678209073604, 'colsample_bytree': 0.9, 'learning_rate': 0.020304951173688125, 'num_leaves': 14, 'max_depth': 4, 'min_child_weight': 70.0, 'min_split_gain': 4.5, 'random_state': 7, 'reg_alpha': 5.957752851734069, 'reg_lambda': 6.828864726543282, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 143, 'min_child_samples': 1700, 'n_estimators': 310}",20.96599817276001,1
-0.33663026454937833,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7692685136756505, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.0058080973932555496, 'num_leaves': 19, 'max_depth': 4, 'min_child_weight': 10.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.9542494637389, 'reg_lambda': 9.62991109571857, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 134, 'min_child_samples': 2150, 'n_estimators': 1072}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7692685136756505, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.0058080973932555496, 'num_leaves': 19, 'max_depth': 4, 'min_child_weight': 10.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.9542494637389, 'reg_lambda': 9.62991109571857, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 134, 'min_child_samples': 2150, 'n_estimators': 1032}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7692685136756505, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.0058080973932555496, 'num_leaves': 19, 'max_depth': 4, 'min_child_weight': 10.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.9542494637389, 'reg_lambda': 9.62991109571857, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 134, 'min_child_samples': 2150, 'n_estimators': 1024}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7692685136756505, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.0058080973932555496, 'num_leaves': 19, 'max_depth': 4, 'min_child_weight': 10.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.9542494637389, 'reg_lambda': 9.62991109571857, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 134, 'min_child_samples': 2150, 'n_estimators': 1024}",42.79350709915161,1
-0.33820501944995557,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8818882309030264, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.024478646824848974, 'num_leaves': 22, 'max_depth': 4, 'min_child_weight': 15.0, 'min_split_gain': 9.0, 'random_state': 7, 'reg_alpha': 5.275878511892456, 'reg_lambda': 7.81468932218438, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 139, 'min_child_samples': 1550, 'n_estimators': 200}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8818882309030264, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.024478646824848974, 'num_leaves': 22, 'max_depth': 4, 'min_child_weight': 15.0, 'min_split_gain': 9.0, 'random_state': 7, 'reg_alpha': 5.275878511892456, 'reg_lambda': 7.81468932218438, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 139, 'min_child_samples': 1550, 'n_estimators': 199}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8818882309030264, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.024478646824848974, 'num_leaves': 22, 'max_depth': 4, 'min_child_weight': 15.0, 'min_split_gain': 9.0, 'random_state': 7, 'reg_alpha': 5.275878511892456, 'reg_lambda': 7.81468932218438, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 139, 'min_child_samples': 1550, 'n_estimators': 197}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8818882309030264, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.024478646824848974, 'num_leaves': 22, 'max_depth': 4, 'min_child_weight': 15.0, 'min_split_gain': 9.0, 'random_state': 7, 'reg_alpha': 5.275878511892456, 'reg_lambda': 7.81468932218438, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 139, 'min_child_samples': 1550, 'n_estimators': 197}",11.111640930175781,1
-0.34276615546629957,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7380160294277269, 'colsample_bytree': 0.9, 'learning_rate': 0.016565732819770897, 'num_leaves': 4, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.2, 'random_state': 7, 'reg_alpha': 8.257228678390705, 'reg_lambda': 2.4761881655441753, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 145, 'min_child_samples': 1300, 'n_estimators': 449}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7380160294277269, 'colsample_bytree': 0.9, 'learning_rate': 0.016565732819770897, 'num_leaves': 4, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.2, 'random_state': 7, 'reg_alpha': 8.257228678390705, 'reg_lambda': 2.4761881655441753, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 145, 'min_child_samples': 1300, 'n_estimators': 434}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7380160294277269, 'colsample_bytree': 0.9, 'learning_rate': 0.016565732819770897, 'num_leaves': 4, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.2, 'random_state': 7, 'reg_alpha': 8.257228678390705, 'reg_lambda': 2.4761881655441753, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 145, 'min_child_samples': 1300, 'n_estimators': 433}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7380160294277269, 'colsample_bytree': 0.9, 'learning_rate': 0.016565732819770897, 'num_leaves': 4, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.2, 'random_state': 7, 'reg_alpha': 8.257228678390705, 'reg_lambda': 2.4761881655441753, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 145, 'min_child_samples': 1300, 'n_estimators': 433}",29.497116804122925,1
-0.35105737160065364,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9397690742076039, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.04891648059682102, 'num_leaves': 13, 'max_depth': 4, 'min_child_weight': 30.0, 'min_split_gain': 1.9000000000000001, 'random_state': 7, 'reg_alpha': 3.673100266076594, 'reg_lambda': 8.433036243680792, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': 'balanced', 'feature_num': 147, 'min_child_samples': 1450, 'n_estimators': 210}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9397690742076039, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.04891648059682102, 'num_leaves': 13, 'max_depth': 4, 'min_child_weight': 30.0, 'min_split_gain': 1.9000000000000001, 'random_state': 7, 'reg_alpha': 3.673100266076594, 'reg_lambda': 8.433036243680792, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': 'balanced', 'feature_num': 147, 'min_child_samples': 1450, 'n_estimators': 207}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9397690742076039, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.04891648059682102, 'num_leaves': 13, 'max_depth': 4, 'min_child_weight': 30.0, 'min_split_gain': 1.9000000000000001, 'random_state': 7, 'reg_alpha': 3.673100266076594, 'reg_lambda': 8.433036243680792, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': 'balanced', 'feature_num': 147, 'min_child_samples': 1450, 'n_estimators': 221}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9397690742076039, 'colsample_bytree': 0.7000000000000001, 'learning_rate': 0.04891648059682102, 'num_leaves': 13, 'max_depth': 4, 'min_child_weight': 30.0, 'min_split_gain': 1.9000000000000001, 'random_state': 7, 'reg_alpha': 3.673100266076594, 'reg_lambda': 8.433036243680792, 'subsample_for_bin': 300000, 'subsample_freq': 0, 'class_weight': 'balanced', 'feature_num': 147, 'min_child_samples': 1450, 'n_estimators': 221}",13.737138271331787,1
-0.34223775156503705,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7237149280653739, 'colsample_bytree': 0.8, 'learning_rate': 0.059314323717257825, 'num_leaves': 16, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.0, 'random_state': 7, 'reg_alpha': 1.2039721358068167, 'reg_lambda': 1.806056806294193, 'subsample_for_bin': 280000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 101, 'min_child_samples': 2100, 'n_estimators': 114}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7237149280653739, 'colsample_bytree': 0.8, 'learning_rate': 0.059314323717257825, 'num_leaves': 16, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.0, 'random_state': 7, 'reg_alpha': 1.2039721358068167, 'reg_lambda': 1.806056806294193, 'subsample_for_bin': 280000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 101, 'min_child_samples': 2100, 'n_estimators': 105}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7237149280653739, 'colsample_bytree': 0.8, 'learning_rate': 0.059314323717257825, 'num_leaves': 16, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.0, 'random_state': 7, 'reg_alpha': 1.2039721358068167, 'reg_lambda': 1.806056806294193, 'subsample_for_bin': 280000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 101, 'min_child_samples': 2100, 'n_estimators': 114}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.7237149280653739, 'colsample_bytree': 0.8, 'learning_rate': 0.059314323717257825, 'num_leaves': 16, 'max_depth': 4, 'min_child_weight': 25.0, 'min_split_gain': 5.0, 'random_state': 7, 'reg_alpha': 1.2039721358068167, 'reg_lambda': 1.806056806294193, 'subsample_for_bin': 280000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 101, 'min_child_samples': 2100, 'n_estimators': 114}",7.34379768371582,1
-0.3385066888454761,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9522566682410005, 'colsample_bytree': 0.8, 'learning_rate': 0.005827895660564607, 'num_leaves': 21, 'max_depth': 4, 'min_child_weight': 80.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.838954048566839, 'reg_lambda': 5.779031098658349, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 136, 'min_child_samples': 1100, 'n_estimators': 894}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9522566682410005, 'colsample_bytree': 0.8, 'learning_rate': 0.005827895660564607, 'num_leaves': 21, 'max_depth': 4, 'min_child_weight': 80.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.838954048566839, 'reg_lambda': 5.779031098658349, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 136, 'min_child_samples': 1100, 'n_estimators': 870}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9522566682410005, 'colsample_bytree': 0.8, 'learning_rate': 0.005827895660564607, 'num_leaves': 21, 'max_depth': 4, 'min_child_weight': 80.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.838954048566839, 'reg_lambda': 5.779031098658349, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 136, 'min_child_samples': 1100, 'n_estimators': 863}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.9522566682410005, 'colsample_bytree': 0.8, 'learning_rate': 0.005827895660564607, 'num_leaves': 21, 'max_depth': 4, 'min_child_weight': 80.0, 'min_split_gain': 5.7, 'random_state': 7, 'reg_alpha': 9.838954048566839, 'reg_lambda': 5.779031098658349, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 136, 'min_child_samples': 1100, 'n_estimators': 863}",45.15715479850769,1
-0.33542581097638646,"{1: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8108355600566535, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.19897257044020547, 'num_leaves': 30, 'max_depth': 5, 'min_child_weight': 95.0, 'min_split_gain': 7.4, 'random_state': 7, 'reg_alpha': 3.323308216847894, 'reg_lambda': 7.237091373132774, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 124, 'min_child_samples': 1750, 'n_estimators': 32}, 2: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8108355600566535, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.19897257044020547, 'num_leaves': 30, 'max_depth': 5, 'min_child_weight': 95.0, 'min_split_gain': 7.4, 'random_state': 7, 'reg_alpha': 3.323308216847894, 'reg_lambda': 7.237091373132774, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 124, 'min_child_samples': 1750, 'n_estimators': 33}, 3: {'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8108355600566535, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.19897257044020547, 'num_leaves': 30, 'max_depth': 5, 'min_child_weight': 95.0, 'min_split_gain': 7.4, 'random_state': 7, 'reg_alpha': 3.323308216847894, 'reg_lambda': 7.237091373132774, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 124, 'min_child_samples': 1750, 'n_estimators': 30}}","{'boost_from_average': True, 'boosting_type': 'gbdt', 'objective': 'binary', 'subsample': 0.8108355600566535, 'colsample_bytree': 0.6000000000000001, 'learning_rate': 0.19897257044020547, 'num_leaves': 30, 'max_depth': 5, 'min_child_weight': 95.0, 'min_split_gain': 7.4, 'random_state': 7, 'reg_alpha': 3.323308216847894, 'reg_lambda': 7.237091373132774, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'class_weight': None, 'feature_num': 124, 'min_child_samples': 1750, 'n_estimators': 30}",4.564388036727905,1
